"filename", "language", "Markdown", "System Verilog", "Verilog", "JSON with Comments", "Python", "comment", "blank", "total"
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/ccd_pe_driver.sv", "System Verilog", 0, 57, 0, 0, 0, 28, 16, 101
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/glb_pe_driver.sv", "System Verilog", 0, 46, 0, 0, 0, 21, 6, 73
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/pe_driver.sv", "System Verilog", 0, 39, 0, 0, 0, 16, 5, 60
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_async_fifo.sv", "System Verilog", 0, 78, 0, 0, 0, 24, 22, 124
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_async_fifo_with_prefill.sv", "System Verilog", 0, 91, 0, 0, 0, 24, 21, 136
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_ccd_pe.sv", "System Verilog", 0, 95, 0, 0, 0, 21, 15, 131
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_dummpy_pe_array.sv", "System Verilog", 0, 71, 0, 0, 0, 31, 16, 118
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_glb_pe.sv", "System Verilog", 0, 46, 0, 0, 0, 21, 8, 75
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_glb_pe_loop.sv", "System Verilog", 0, 78, 0, 0, 0, 21, 11, 110
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_pe.sv", "System Verilog", 0, 38, 0, 0, 0, 21, 11, 70
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_weight_buffer.sv", "System Verilog", 0, 51, 0, 0, 0, 21, 8, 80
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/weight_buffer_driver.sv", "System Verilog", 0, 27, 0, 0, 0, 21, 6, 54
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/verilog/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/vis/pe_ctrl_viz.py", "Python", 0, 0, 0, 0, 43, 8, 10, 61
"Total", "-", 58, 1987, 823, 12, 43, 1029, 727, 4679
