"filename", "language", "System Verilog", "Markdown", "Verilog", "JSON with Comments", "comment", "blank", "total"
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/shifter.v", "Verilog", 0, 0, 28, 0, 5, 6, 39
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/weight_buffer.v", "Verilog", 0, 0, 77, 0, 21, 18, 116
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/hdl_source.code-workspace", "JSON with Comments", 0, 0, 0, 12, 0, 0, 12
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/spinalHDL/README.md", "Markdown", 0, 1, 0, 0, 0, 2, 3
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/glb_pe_driver.sv", "System Verilog", 46, 0, 0, 0, 21, 6, 73
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/pe_driver.sv", "System Verilog", 39, 0, 0, 0, 16, 5, 60
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_async_fifo.sv", "System Verilog", 64, 0, 0, 0, 13, 13, 90
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_dummpy_pe_array.sv", "System Verilog", 71, 0, 0, 0, 31, 16, 118
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_glb_pe.sv", "System Verilog", 46, 0, 0, 0, 21, 8, 75
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_glb_pe_loop.sv", "System Verilog", 74, 0, 0, 0, 21, 11, 106
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/system_verilog/tb_pe.sv", "System Verilog", 38, 0, 0, 0, 21, 11, 70
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/verilog/README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/verilog/tb_weight_buffer.v", "Verilog", 0, 0, 0, 0, 0, 1, 1
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/simulation source/verilog/weight_buffer_driver.v", "Verilog", 0, 0, 6, 0, 21, 2, 29
"Total", "-", 1453, 54, 383, 12, 777, 524, 3203
